0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,89,0,71,86,0,0,77,0,71,0,0,0,0,0,0,0,0,0,0,50,0,36,46,0,66,0,0,0,0,60,0,0,62,0,0,0,0,69,84,0,0,0,88,0
86,53,0,0,0,0,0,0,0,63,0,0,61,0,0,0,68,0,0,0,0,69,0,0,70,0,0,74,0,0,0,70,0,50,47,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,43,69,0,0,0,0,82,0,0,0,76,0,0,0
0,80,0,0,76,70,0,0,0,0,0,71,0,0,62,53,44,23,0,101,0,0,0,0,0,0,36,0,0,0,0,56,0,0,0,0,0,20,66,0,0,71,0,0,51,82,48,94,0,0,0,0,40,0,0,74,0,0,0,63,44,0,0,55
76,0,0,73,64,0,56,0,0,75,74,91,68,0,93,78,0,0,98,0,0,63,0,0,85,0,100,0,0,0,40,0,0,0,0,127,0,57,0,0,0,0,0,59,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,71
0,0,0,0,57,0,0,0,0,0,25,0,0,0,0,0,0,0,75,0,0,86,0,72,0,83,60,0,82,63,0,0,48,0,0,0,0,0,0,0,0,0,25,0,0,0,0,57,53,0,0,75,0,46,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,64,93,0,0,47,64,100,0,0,0,0,0,0,34,82,106,0,0,58,0,0,0,0,55,0,56,0,0,0,0,74,73,61,76,0,0,0,83,97,0,0,0,0,0,73,85,96,56,0,54,0,72
0,0,0,0,0,0,55,0,0,0,0,0,0,72,0,60,0,0,0,0,0,0,0,0,57,0,81,0,0,0,0,0,75,0,0,0,0,0,0,0,68,0,30,0,0,63,0,0,66,0,0,0,0,0,0,0,0,0,0,48,0,54,0,39
0,75,0,0,59,0,0,0,40,0,0,0,0,0,0,53,64,0,0,50,32,0,0,0,0,0,0,54,0,52,0,0,0,37,46,0,0,0,65,0,0,56,0,65,0,0,0,0,56,0,59,0,0,64,0,0,81,72,0,74,0,0,0,78
0,0,0,0,0,0,0,0,0,0,62,54,0,60,0,0,0,54,0,0,49,0,0,54,0,71,0,0,74,0,0,0,64,0,0,0,55,78,0,0,0,0,0,97,65,26,0,0,0,60,0,0,0,0,0,0,0,37,0,0,0,0,95,0
0,0,0,25,0,74,0,0,0,0,0,74,0,57,0,0,52,89,0,83,79,0,56,0,103,80,55,7,0,0,0,0,69,0,0,83,0,0,61,0,0,33,0,26,0,58,31,0,0,0,28,0,73,0,0,41,0,0,51,0,0,0,88,0
0,72,82,107,0,0,0,0,0,0,0,49,0,0,63,0,82,0,74,42,17,0,0,0,104,0,0,0,0,0,0,42,0,0,57,68,0,0,0,0,0,0,0,0,0,0,87,0,0,52,0,0,0,0,0,0,62,52,0,0,0,0,0,66
0,75,52,0,63,0,48,0,47,0,0,0,33,0,0,51,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,76,94,0,0,54,0,84,0,0,74,89,0,0,0,0,0,0,0,0,0,0,0
60,65,0,0,0,72,65,86,0,0,0,75,0,0,0,0,0,0,0,0,0,94,44,0,0,55,56,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,79,38,0,0,51,0,42,58,58,0,0,0,0,0,0,0
68,0,0,70,74,0,35,0,69,0,0,0,0,0,0,0,39,0,77,0,61,0,0,0,68,0,0,0,81,62,91,0,0,31,0,0,0,0,0,92,57,55,75,89,0,0,61,0,0,0,0,0,0,83,84,0,0,0,0,0,0,0,0,0
